Last,First
Karsen,Eric
Karlstein,Philip (Phil)
Karya,Teguh
Kasdan,Joe
Kasdan,Lawrence
Kasha,Larry
Kassovitz,Mathiau
Kastle,Leonard
Katani,Tom
Katchatrian,Haroutiun
Katselas,Milton
Katsouridis,Dinos
Katzenberg,Jerry
Katzman,Sam
Katzin,Lee H.
Kaufer,Jonathan
Kaufman,Boris
Kaufman,G.S.
Kaufman,Joseph
Kaufman,Philip
Kaul,Mani
Kavur,Omer
Kawajiri,Yoshiaki
Kawalarowicz,Jerzy
Kaye,Tony
Kaylor,Robert
Kazanjoglous,Elia
Kazan,Nicholas
Keaton,Joseph Francis (Buster)
Keeler,Stephen
Keighley,William
Keller,Harry
Kelley,John Patrick
Kelly,David E.
Kelly,Eugene Curran
Kennedy,Burt
Kenton,Earle C.
Kerbosch,Roweland
Kerkhof,Ian
Kern,James V.
Kershner,Irvin
Keshishian,Alek
Khan,Mohammed
Kibbee,Roland
Kidron,Beeban
Kiersch,Fritz
Kimball,Jeffrey
Kim,Kee-Duck
Kimmins,Anthony
Kinegusa,Tenosuke
King,Burton
King,George
King,Henry
King,Louis
King,Rick
King,Stephen
King,Zalman
Kitchell,Mark
Kinoshita,Ryo
Kitano,Takeshi
Kitrosser,Martin
Kjellin,Alf
Klane,Robert
Klapisch,Cedric
Klaus,Damien
Klein,William
Kleiner,Arthur
Kleiser,Randal
Klier,Michael
Kloves,Steve
Knowles,Bernard
Koch,Howard W.
Koepp,Volker
Kohlmar,Fred
Koike,Matsato
Kojima,Yasufumi
Kollek,Amos
Koller,Xavier
Konchalovsky,Andrei
Kopple,Barbara
Korda,Sir Alexander
Korda,Vincent
Korda,Zoltan
Korine,Harmony
Korras,Giorgos
Kohn,Fritz Nathan
Korty,John
Kosma,Joseph
Kosterlitz,Hermann
Kostner,Kevin
Kotcheff,Ted
Koundouros,Nikos
Kovacs,Laszlo (Leslie)
Kovacs,Zsolt Kezdi
Kowalski,Bernard
Krabbe,Jeroen
Parrolini,Gianfranco (Frank)
Kramer,Stanley
Kranenborg,Arno
Krantz,Steve
Krasner,Milton
Kress,Harold F.
Krishnamma,Suri
Krishtofovich,Vyacheslav
Kubrick,Stanley
Kuehn,Andrew
Kuleshov,Lev
Kulik,Buzz
Kull,Edward
Kumar,Indra
Kundera,Milos
Kureishi,Hanif
KuryS,Diane
Kurosawa,Akira
Kusturica,Emir
Kuzui,Fran Rubel
Kwan,Stanley
Kwapis,Ken
LaBute,Nick
La Cava,Gregory
Lacerte,Jaques
Le Chanois,Jaea-Paul
Lachman,Harry
Lacombe,Georges
Laemmle,Carl
Laemmle,Ernst
Lafia,John
LaGravenese,Richard
Lalogia,Frank
Lalouche,Claude
Lamb,John
Lambert,Mary
Lambert,Mary
Lamont,Charles
Lamorisse,Albert
Lampin,Georges
Lamprecht,Gerhard
Lane,Charles
Landers,Lew
Landis,John
Landon,John
Landon,Michael
Landres,Paul
Lanfield,Sidney
Lang,Charles
Lang,Fritz
Lang,Jennings
Lang,Richard
Lang,Walter
Langdon,Harry
Lanza,Anthony M.
Lanzman,Claude
Lapine,James
Larraz,Joseph
Laskos,Orestes
Lasky,Jesse L.
Lasseter,John
Laszlo,Andrew
Laszlo,Ernest
Laszlo,Ernest
Laughlin,Michael S.
Frank,Tom C.
Laughton,Charles
Launder,Frank
Lautner,Georges
Lauzon,Jean-Claude
Laven,Arnold
Lavin,Julianna
Lazarus,Ashley
Lazarus,Margaret
Leacock,Richard
Leacock,Robert
Leacock,Philip
Leach,Wilford
Lean,David
Lear,Norman
Le Borg,Reginald
Leconte,Patrice
Leder,Herbert J.
Leder,Mimi
Lederman,fn
Leduc,Paul
Lee,Ang
Lee,Norman
Lee,Rowland V.
Lee,Quentin
Lee,Robert E.
Jones,Spike Lee
Levy,Herbert I.
Lefranc,Guy
Legrand,Michel
Lehman,Earnest
Lehman,Michael
Leigh,Mike
Leisen,Mitchell
Leland,David
Lelouch,Claude
Le Moine,Yvan
Lemmon,Jack
Lemmons,Kasi
Leni,Paul
Lennart,Isobel
Leo,Malcolm
Leone,John
Leone,Sergio
Leonard,Brett
Leonard,Robert Z.
Lerner,Irving
Leroi,Frances
Leroux,Gaston
LeRoy,Mervyn
Leroy,Serge
Le Saint,Edward J.
Leslie,John
Lessac,Michael
Lesser,Sol
Lester,Mark L.
Lettich,Sheldon
Levant,Brian
Levey,William
Levin,Henry
Levine,Joseph E.
Levinson,Barry
Levinson,Fred
Levitt,Gene
Levy,Dani
Levy,Jefery
Levy,Louis
Lewicki,Stephen
Lewin,Albert
Lewin,Ben
Lewis,Albert E.
Lewis,Herschell Gordon
Lewis,Jerry
Lewis,Joseph H.
Lewis,Robert
Lewton,Val
Leytis,Joseph
Li,ShaoHong
Libov,Howard
Lieberman,Robert
Light,Mike
Liman,Doug
Lindeberg,Per
Lindsay-Hogg,Michael
Lindtberg,Leopold
Link,Caroline
Linklater,Richard
Linson,Art
Lipstadt,Aaron
Lisberger,Steven
Little,Dwight H.
Littlewwod,Joan
Littman,Lynne
Litvak,Anatole
Livingston,Jennie
Llosa,Luis
Lloyd,Frank
Lloyd,Harold
Lloyd,Norman
Loach,Ken
Locke,Sondra
Logan,Bob
Logan,Joshua
Loginotto,Kim
Lokkeberg,Vibeke
Loncraine,Richard
London,Jerry
Lopez,Temistocles
Lord,Jean Claude
lo Savio,Gerolamo
Losey,Joseph
Lourie,Eugene
Louis,Jean
Lowry,Dick
Loy,Nanni
Lubin,Arthur
Lubitsch,Ernst
Lucas,John Meredyth
Lucas,George
Luchetti,Daniele
Lucidi,Maurice
Ludwig,Edward
Luhrmann,Baz
Lumet,Sidney
Lumiere,Auguste
Lumiere,Louis
Luna,Bigas
Lungin,Pavel
Lupino,Ida
Luske,Hamilton
Lustig,William
Lynch,David
Lynch,Jennifer
Lynch,Paul
Lynn,Jonathan
Lyne,Adrian
Lyon,Francis D.
McAnuff,Des
MacArthur,Charles
MacDonald,David
MacDonald,Rodney
Millar,Kenneth
MacDougall,Ranald
MacFadden,Hamilton
Machaty,Gustav
Mack,Russell
Mackay,Windsor
Mackendrick,Alexander (Sandy)
Mackenzie,John
MacKinnon,Gillies
MacLaine,Shirley
McLean,Alison
Madden,John
Maddin,Guy
Maddow,Ben
Magwood,Paul
Maggenti,Maggie
Maggi,Luigi
Mailer,Norman
Maisch,gn
Mahlin,Charlie
Makavejev,Dusan
Makk,Karoly
Makmalbaf,Samira
Makmalbaf,Mohsen
Maldonado,Jose
Malick,Terence
Malmouth,Bruce
Malmros,Nils
Mamet,David
Mehboob,xfn
Mamoulian,Rouben
Manchevski,Milcho
Mancini,Henry
Mandel,Robert
Mandoki,Luis
Mangold,James
Mangolte,Babette
Mankiewicz,Don
Mankiewicz,Herman J.
Mankiewicz,Joseph L.
Mankiewicz,Tom
Mann,Abbey
Bundesmann,Emil
Mann,Daniel
Mann,Delbert
Mann,Michael
Mann,Heinrich
Mann,Ned
Mann,Ron
Mann,Thomas
March,Alex
Margheriti,Antonio
Margolin,Stuart
Mari,Febo
Marin,Edwin L.
Marin,Eugenio
Marino,Gustavo Graef
Marischka,Ernst
Bouche-Villeneuve,Christian
Marketaki,Tonia
Markey,Dave
Markey,Gene
Markle,Fletcher
Markle,Peter
Markowitz,Robert
Marley,J. Peverell
Marquand,Christian
Marquand,Richard
Marshall,Frank
Marshall,George
Marshall,Gerry
Marshall,Penny
Marshall,Scott
Mart,Paul
Jaques,19xx
Martin,Eugenio
Martin,Michael
Martin,Paul
Martinson,Leslie H.
Marton,Andrew
Stone,Peter
Marvin,Arthur
Marvin,Edward L.
Mason,Herbert
Masters,Quentin
Masterson,Peter
Mastroianni,Armand
Masumura,Yasuzo
Matalon,Eddie
Mattinsson,Burney
Mattsson,Arne
Maurer,Norman
Maxwell,John
Maxwell,Peter
Maxwell,Ronald F.
May,Elaine
Mandel,Joe (Joseph)
Mayakowski,Vladimir
Meyers,Nancy
Meyer,Louis B.
Mayfield,Les
Maylam,Tony
Mayo,Archie
Maysles,Albert
Maysles,Albert
Mazursky,Paul
McAlpine,Donald
McBride,James
McCandless,Peter
McCarey,Leo
McCutcheon,Wallace
McDonald,Frank
McDonald,Hettie
McEveety,Vincent
McGann,William
McGuire,Don
McGrath,Joseph
McHenry,Doug
McLaglen,Andrew V.
McLaren,Norman
McLeod,Norman Z.
McMurty,Larry
McNaughton,John
McPherson,Scott
McRae,Henry
McTiernan,John
Meade,Nick
Medak,Peter
Medem,Julio
Medford,Don
Megahey,Leslie
Mehrjui,Dariush
Mehta,Deepa
Meins,Gus
Melford,George
Melniker,Benjamin
Grumbach,JeanPierre
Mendes,Lothar
Mendelux,George
Mendez,Fernando
Merendino,James
Menendez,Ramon
Menges,Chris
Menkes,Nina
Menshov,Vladimir
Mentasti,Oreste
Mentges,Jeff
Menzies,William Cameron
Mercanton,Louis
Merchant,Ismael
Merendino,James
Merzbach,gn
Meshekoff,Matthew
Meszaros,Marta
Metcalfe,Tim
Metzger,Alan
Metzger,Radley
Meyer,Andrew
Meyer,Nicholas
Meyer,Russ
Myerson,Alan
Micheaux,Oscar
Mikhalkov,Nikita
Milchan,Arnon
Miles,William
Milstein,Levis
Mignatti,Victor
Milius,John
Milland,Ray
Millar,Gavin
Millar,Stuart
Miller,Claude
Miller,David
Miller,Don
Miller,George
Miller,Jason
Miller,Jonathan
Miller,Michael
Miller,Robert Ellis
Miller,Randall
Milligan,Andy
Milonaka,Ilia
Milton,Robert
Minghella,Anton
Minnelli,Vincent
Miner,Steve
Mishima,Yukio
Mitchell,Claude
Mitchell,Roger
Mitchum,Robert
Mitz,Michael
Mizoguchi,Kenji
Mobray,Malcolm
Model,Ben
Molinaro,Edouard
Molander,Gustav
Mones,Paul
Monger,Christopher
Monicello,Mario
Montagu,Ivor
Montell,Judy
Mentero,Roberto
Montgomery,Henry
Moon,Irwin
Moore,Michael
Moore,Robert
Moorhouse,Jocelyn
Morrahan,Andy
Moreton,Dvid
fname,xn
Morgan,Harry
Morgan,William
Morin,Robert
Morita,Yoshimitsu
Moritani,Shiro
Morris,Errol
Morris,Howard
Morrissey,Paul
Moretti,Nanni
Morrow,Vic
Morse,Hollingsworth
Morse,Terry
Morton,Rocky
Moses,Ben
Mostow,Jonathan
Moxey,John
Mottola,Greg
Moyle,Alan
Mugge,Robert
Mulcahy,Russell
Mulligan,Robert
Munk,Andrzej
Murakami,Jimmy T.
Plumpe,Friedrich Wilhelm
Murphy,Dudley
Murphy,Eddie
Murphy,Geoff
Murphy,Ralph
Murphy,Richard
Musker,John
Musser,Charles
Musso,Jeff
Mutrux,Floyd
Naderi,Amir
Nair,Mira
Nakahara,Shun
Nakajima,Takeo
Napier,gn
Napoleon,Art
Naruse,Mikio
Narizzano,Silivo
Naud,William T.
Neame,Ronald
Nava,Gregory
Neckering,Amy
Needham,Hal
Negrin,Alberto
Negulesco,Jean
Neilan,Marshall
Neill,James
deGostric,Roy William (Roland)
Neilson,James
Nelson,Tim Blake
Nelson,Gary
Nelson,Gene
Nelson,Jack
Nelson,Ralph
Nemec,Jan
Neumann,Kurt
Neumann,Stan
Newell,Mike
Newfield,Sam
Newland,John
Newman,Alfred
Newman,Joseph M.
Newman,Paul
Newmeyer,Fred
Nga,Tiana Thi Thanh
Nobile,Frederico (Fred)
Niccol,Andrew
Nichetti,Maurizio
Nickman,Jan C.
Nichols,Charles A.
Nichols,Dudley
Peschkowsky,Michael Igor
Nicholson,Arch
Nicholson,Jack
Nicolella,John
Niehaus,Lennie
Nigh,William
Nilsson,Rob
Nimoy,Leonard
Nixon-Browne,Jack
Nolan,Christopher
Noonan,Chris
Noon,Thomas (Tommy)
Noonan,Tom
Norman,Leslie
Norris,Aaron
Norman,Mabel
Norrington,Stephen
Norton,B.W.L.
Nosseck,Max
Nosseck,Noel
Nossiter,Jonathan
Nougmanov,Rachid
Novaro,Maria
Noyce,Phillip
Nube,Chris D.
Nuchtern,Simon
Nugent,Elliot
Nugent,Frank S.
Nunn,Trevor
Nutley,Colin
Nuytten,Bruno
Nykvist,Sven
Nyby,Christian
Obst,Lynda
Odets,Clifford
Oedekerk,Steve
OHara,Gerry
Olcott,Sidney
Oldman,Gary
Olin,Ken
Oliansky,Joel
Olivier,Lord Laurence
Opetek,Ferzan
Orona,Gary
Orr,James
Ortega,Kenny
Osborne,John
Oshima,Nagisa
Oswald,Gerd
Oswald,Richard
Otomo,Katsushiro
Ottinger,Ulrike
Ouedraogo,Idrissa
Owen,Cliff
bn,gn
Oxenberg,Jan
Oxilia,Nino
Oznowicz,Frank
Ozerov,gn
Ozgenturk,Ali
Ozu,Yasujiro
Wilhelm,George
Pachard,Henri
Pacino,Al
Padovan,Adolfo
Page,Anthony
Pagnol,Marcel
Pakula,Alan J.
Pal,George
Palcy,Euzhan
Palekar,Arnol
Palermi,Amleto
Palmer,Tony
Paltrow,Bruce
Panama,Norman
Papastathis,Lakis
Papatakis,Nikos
Parajanov,Sergei
Parent,James
Paris,Jerry
Parisot,Dean
Park,Nick
Parker,Albert
Parker,Alan
Parker,David
Parker,John
Parker,Trey
Parks,Gordon
Parrish,Robert
Parrott,James
Parry,Gordon
Pascal,Christine
Pascal,Gabriel
Pasolini,Pier Paolo
Pasquin,John
Passer,Ivan
Patzak,Peter
Paul,Steven
Paul,Stefan
Payne,Alexander
Pearce,Richard
Peckinpah,Sam
Peerce,Larry
Pellissie,Jean-Marie
Pellington,Mark
Penn,Arthur
Penn,Leo
Penn,Sean
Pennebaker,D.A.
Pennington-Richards,C.
Peploe,Mark
Peploe,Clare
Peppard,George
Pereira,Migual
Perelman,Pablo
Perello,Hope
Peretz,Jesse
Perkins,Anthony
Perlberg,William
Perry,Eleanor
Perry,Frank
Persky,Bill
Person,Luis Sergio
Peschke,Anton
Peters,Jon
Petersen,Wolfgang
Petri,Elio
Petrie,Daniel
Petrov,gn
Pevney,Joseph
Phalke,D.G.
Phillips,Lee
Pialat,Maurice
Picazo,Miguel
Pichel,Irving
Pieplow,John
Pierce,Larry
Pierson,Frank R.
Pinoteau,Claude
Pintilie,Lucien
Plympton,Bill
Poe,Edgar Allen
Poirier,Manuel
Poitier,Sidney
Polanski,Roman
Polglase,Van Nest
Pollard,Harry
Pollack,Barry
Pollack,Jeff
Pollack,Sydney
Pollock,George
Polonsky,Abraham
Polselli,Renato
Pommer,Erich
Ponti,Carlo
Pontocorvo,Gillo
Porter,Cole
Porter,Edwin S.
Portillo,Lourdes
Post,Ted
Potter,H.C.
Potter,Dennis
Potter,Sally
Pottier,Richard
Powell,Dick
Powell,Michael
Pradal,Manuel
Prasad,Udayan
Preminger,Otto
Pressburger,Emeric
Pressman,Edward R.
Pressman,Michael
Preuss,Reuben
Previn,Steve
Price,Bernard
Price,David
Price,Will
Primus,Barry
bnd,fn
Prince,Harold
Priyadarshan,xfn
Proft,Pat
Prokofiev,Sergei
Proyas,Alex
Puccini,Giacomo
Pudovkin,Vsevolod
Puenzo,Luis
Puttnam,David
Pytka,Joe
Pyun,Albert
Quay,fn1
Quested,John
Quimby,Fred
Quine,Richard
Quinn,Anthony
Quintano,Gene
Rademakers,Fons
Radford,Michael
Radler,Robert
Rafelson,Bob
Rafkin,Alan
Ragona,Ubaldo
Raimi,Sam
Rainer,Yvonne
Ramis,Harold
Ramsay,Lynn
Randel,Christopher
Ranga,Donna
Ransick,Whitney
Ransohoff,Martin
Rappaport,Mark
Rappeneau,Jean-Paul
Rapper,Irving
Rash,Steven
Ratner,Brett
Ratoff,Gregory
Ravel,Gaston
Ravetch,Irving
Ravett,Abraham
Rawlins,John
Ray,Fred Olen
Radnitsky,Emmanuel
Kienzle,Raymond Nicholas
Ray,Satyajit
Caines,John (Jack)
Raymond,Susan
Reed,Sir Carol
Reed,Luther
Reed,Theodore
Rees,Jerry
Reeves,Michael
Regan,Rob
Reggio,Godfrey
Reichert,Mark
Reiner,Carl
Reid,John
Reiner,Robert
Reinert,Al
Reinhardt,Gottfried
Reinhardt,Max
Reinl,Harald
Reis,Irving
Reisch,Walter
Reisner,Allen
Reisner,Charles
Reitherman,Wolfgang (Woolie)
Reitz,Edgar
Reisz,Karel
Reitman,Ivan
Relph,Michael
Renoir,Claude
Renoir,Jean
Renzi,Maggie
Resnais,Alain
Revier,Harry
Reynolds,Burt
Reynolds,Gene
Reynolds,Kevin
Rich,David Lowell
Rich,Matty
Richards,Dick
Richardson,Peter
Richardson,Tony
Richebe,gn
Richert,William
Richet,Jean-Francois
Richter,Hans
Rickman,Alan
Riefenstahl,Leni
Rifkin,Adam
Riggs,Marlon
Righelli,Gennaro
Rilla,Wolf
Rim,Carlos
Deborah,Ringel
Ripley,Arthur
Ripploh,Frank
Ripstein,Arturo
Risi,Dino
Risyaf,M.T.
Ritchie,Guy
Ritchie,Michael
Ritter,Martin
Rivette,Jacques
Roach,Hal
Rob,Mike
Robbe-Grillet,Alain
Robertson-Pearce,Pamela
Robbins,Arthur
Robbins,Robbins
Robbins,Matthew
Robbins,Tim
Robert,Genevieve
Robert,Yves
Roberts,Alan
Roberts,John
Roberts,Stephen
Robertson,John S.
Robinson,Arthur
Robinson,Bruce
Robinson,John Mark
Robinson,Casey
Robinson,Phil Alden
Robson,Mark
Rockwell,Alexandre
Rocco,Marc
Rocha,Glauber
Rodchenko,Alexander
Roddenberry,Gene
Rodolfo,Eleuterio
Rodriguez,Robert
Roe,David
Roebling,Paul
Roeg,Nicolas
Roemer,Michael
Rogell,Albert S.
Rogers,Mclean
Rogoschkin,Aleksandr
Rogosin,Lionel
Scherer,Jean Maurice (Eric)
Roley,Sutton
Rollins,Jean
Rollins,Jack
Romero,George A.
Romm,Mikhail
Roodt,Darrel James
Rooks,Pamela
Roos,Don
Rose,Bernard
Rose,Mickey
Rosen,Phil
Rosenfeld,Keva
Rosenberg,Philip
Rosenberg,Stuart
Rosenbloom,Nina
Rosenthal,Rick
Rosman,Mark
Ross,Benjamin
Ross,Courtney
Ross,Frank
Ross,Gary
Ross,Herbert
Ross,Steven J.
Rossellini,Roberto
Rossen,Robert
Rosi,Francesco
Roth,Joe
Rothemund,Marc
Rothman,Stephanie
Rouche,Jean
Rouquier,Georges
Rowland,Roy
Rozema,Patricia
Rozenberg,David
Ruben,Andy
Ruben,J.Walter
Ruben,Joseph
Ruben,Kat Shea
Rubin,Bruce Joel
Rudnick,Paul
Rudolph,Alan
Ruggiero,Telemaco
Ruggles,Wesley
Ruiz,Raul
Rush,Richard
Russcol,Yael
Russell,Charles
Russell,David O.
Russell,Ken
Ruttmann,Walter
Ruzicka,Jan
Ruzowitzky,Stefan
Ryazanov,Eldar
Rydell,Mark
Sachs,William
Sackheim,Daniel
Saderman,Alejandro
Sagal,Boris
Sakellarios,Alekos
Saks,Gene
Sale,Richard
Salkow,Sidney
Salomon,Mikael
Salt,Waldo
Saltzman,Harry
Salter,James
Salva,Victor
Salvatores,Gabriele
Samanta,Ashim S.
Samples,Keith
Sancher,Hampton
Sander,Helke
Sanders-Brahms,Helma
Sandgren,Ake
Sandrich,Mark
Sandrich,Jay
Sanjines,J
Santell,Al
Santiago,Cirio
Santino,Jack
Mansfield,Joseph
dos Santos,Nelson Pereira
Sarafian,Richard C.
Sargent,Joseph
Sarne,Michael
Sanford,Arlene
Sasdy,Peter
Saunders,John Monk
Saura,Carlos
Saurel,Jaques
Sautet,Claude
Sauvage,Pierre
Saville,Philip
Saville,Victor
Savin,Tom
Sayles,John
Scaraf,Irving
Schaefer,George
Schaeffer,Eric
Shafer,Dirk
Schaffner,Franklin J.
Schallerup,Henning
Schary,Dore
Schatzberg,Jerry
Schecter,Alan
Scheerer,Robert
Scheinman,Andrew
Schell,Maximilian
Schenck,Aubrey
Schenkel,Carl
Schepisi,Fred
Schertzinger,Victor
Schiller,Lawrence
Schlamme,Thomas
Schlaich,Frieder
Schlesinger,John
Schlingensief,Christoph
Schmoeller,David
Schnabel,Julian
Schnitzer,Gerry
Schoedsack,Ernest B.
Schoenfeld,Bernard C.
Schomburgk,Hans Hermann
Schraeder,Paul
Schroeder,Barbet
Schulman,Tom
Schultz,Michael
Schulz,Bob
Schumacher,Joel
Schunzel,Reinhold
Schuster,Harold
Schwab,Laurence
Schwartz,Stefan
Schwarz,Hanns
Scola,Ettore
Scorsese,Martin
Scotese,gn
Scott,Cynthia
Scott,Oz
Scott,Ridley
Scott,Tony
Seagal,Steven
Sjostrom,Victor
Stenius,George
Seale,John
Sedgwick,Edward M.
Segal,Alex
Segal,Boris
Segal,Peter
Segall,Stuart
Seidelman,Susan
Seiden,Joseph
Seiler,Lewis
Seiter,William A.
Seitz,George B.
Seitz,John F.
Sekely,Steve
Selander,Lesley
Selick,Henry
Selim,xfn
Seltzer,xfn
Selznick,David O.
Sena,Dominic
Sinnott,Michael
Serafian,Deran
Serena,Gustavo
Seria,Joel
Serreau,Coline
Setbon,Philip
Sevcikova,Jana
Sewell,Vernon
Seymour,Jeff
Sgarro,Nicholas
Shadyac,Tom
Shaffer,Anthony
Shaffer,Peter
Shah,Krishna
Shaknazarov,Karen
Sharma,Aribam Syam
Sharman,Jim
Shane,Maxwell
Shanley,John Patrick
Shapiro,Alan
Shapiro,Ken
Sharp,Don
Sharpsteen,Dumbo
Sharp,Ian
Shatner,William
Shavelson,Melville
Shear,Barry
Shebib,Donald
Shainberg,Steven
Sheldon,James
Sheldon,Sidney
Sheinberg,Sid
Shelton,Ron
Rogers,Samuel Sheppard
Shepard,Richard
Sher,Jack
Sheridan,Jim
Sherman,George
Sherman,Lowell
Sherman,Vincent
Shields,Frank
Shilts,Randy
Shindo,Kaneta
Sholder,Jack
Shisgal,Murray
Sholem,Lee
Shonteff,Lindsay
Shore,Sig
Shores,Lynn
Shumlin,Herman
Shyer,Charles
Sideman,Adi
Sidney,George
Siegel,C.Don
Siegel,Max
Siegel,Sol C.
Signorelli,James
Silberg,Joel
Siliphant,Sterling
Silver,Amanda
Silver,Dina
Silver,Joan Micklin
Silver,Joel
Silver,Marissa
Silver,Ron
Silver,Ralph D.
Silver,Scott
Silverstein,Elliott
Simon,Francis
Simon,Neil
Simon,Rainer
Simon,S.Sylvan
Simonelli,Giorgio C.
Sin,Stephen
Sinclair,Robert B.
Simpson,Don
Singer,Alexander
Singer,Bryan
Singer,Gail
Singleton,John
Singleton,Ralph S.
Sinisi,Gary
Sinyor,Gary
Siodmak,Curt
Siodmak,Robert
Sierck,Detlef (Douglas)
Sisk,Robert
Sitaris,Andy
Skirball,Jack H.
Skjoldbjaerg,Eric
Skolimowski,Jerzy
Skoog,Susan
Slatzer,Robert
Sloane,Paul
Sloman,Edward
Sluizer,George
Small,Edward
Smallwood,Ray C.
Smight,Jack
Smith,Bernard
Smith,Bruce
Smith,Bud
Smith,Clive
Smith,David
Smith,Howard
Smith,Jack
Smith,John
Smith,Kevin
Smith,Mel
Smith,Noel
anonymous,pseudonym
Snow,Michael
Snyder,Robert
Soavi,Michele
Soderbergh,Steven
Soffici,Mario
Softley,Ian
Sokurov,Alexander
Solanas,Fernando E.
Sole,Alfred
Solondz,Todd
Solum,Ole
Sommers,Stephen
Sonneveld,Barry
Sopsits,Arpad
Southern,Terry
Spacey,Kevin
Spheeris,Penelope
Spence,Richrad
Spicer,Bryan
Eagle,Sam P.
Spiegel,Sol C.
Spielberg,Steven
Spiers,Bob
Spoor,George K.
Sprecher,Jill
Spottiswoode,Roger
Stafford,Babe
Stahl,John M.
Stallone,Sylvester
Stark,Ray
Starr,Peter
Starrett,Jack
Staudte,W.
St.Clair,Mai
Steckler,Ray Dennis
Stein,Peter
Stein,Ken
Stein,Paul L.
Steiner,Max
Steinberg,David
Steinberg,Michael
Stephani,Frederick
Sterling,William
Stern,Steven Hillard
von Sternberg,Josef (Jonas)
Stevens,Davd
Stevens,George
Stevens,Robert
Stevens,Leslie
Stevenson,Robert
Stiller,Ben
Stiller,Mowscha (Mauritz)
Stillman,Whit
Stone,Andrew
Stone,Oliver
Stone,Robert
Stone,Sharon
Stone,Virginia
Storaro,Vittorio
Straussler,Thomas (Tom)
Straume,Unni
Strayer,Frank
Strick,Joseph
Strock,Herbert L.
Streisand,Barbra
Strom,Yale
Stromberg,Hunt
Stroux,gn
Stuart,Jeb
Stuart,Mel
Sturges,John
Biden,(Edmund) Preston
Sturridge,Charles
Styne,Jule
Sucksdorff,Arne
Sugg,Stewart
Sullivan,Tim
Summers,Jeremy
Surjik,Stephen
Suo,Masuyuki
Surtees,Robert L.
Suso,Henry
Sutherland,A. Edward
Sutherland,David
Svankmajer,Jan
Sverak,Jan
Svoboda,Nancy
Swackhammer,E.W.
Swain,Bob
Swift,David
Switzer,Michael
Sykes,Peter
Szazs,Janos
Szlingerbaum,Samy
Szwarc,Jeannot
Tacchella,Jean-Charles
Takemitsu,Tore
Talalay,Rachel
Takita,Yojiri
Tamahori,Lee
Tanaka,Tomoyuki
Taniguchi,Senkichi
Tannen,William
Tanner,Alain
Tarantino,Quentin
Tarkovsky,Andrei
Tashlin,Frank
Tatischeff,Jaques
Tatassopoulos,Stelios
Taurog,Norman
Tavernier,Bertrand
Taviani,Paolo
Taviani,Vittorio
Taylor,Finn
Taylor,Frank E.
Taylor,Don
Taylor,Donald F.
Taylor,Ray
Taylor,Sam
Taylor,S.E.V.
Tanner,William Desmond
Taymor,Julie
Teague,Lewis
Teglasy,Ferenc
Temple,Julian
Tennant,Andy
Terayama,Shuji
Tetzlaff,Ted
Teshigahara,Hiroshi
Tewkesbury,Peter
Thalberg,Irving
Thibaut,Michel
Thiele,William
Thomas,Betty
Thomas,G.
Thomas,Ralph
Thomas,Ralph L.
Thomas,Pascal
Thome,Rudolf
Thompson,Eric
Thompson,Fred
Thompson,J.Lee
Thornton,Billy Bob
Thorpe,Jerry
Thorpe,Rollo Smolt (Richard)
Till,Eric
Tinling,James
Tiomkin,Dmitri
Tisch,Steve
Toback,James
Tognazzi,Ricky
Tokar,Norman
Toledo,Sergio
Tolkin,Michael
Tomasini,George
Tong,Stanley
Topper,Burt
Tornatore,Guiseppe
Toubiana,Serge
Tourjansky,gn
Tourneur,Maurice
Tourneur,Jaques
Towers,Harry Alan
Towne,Robert
Townsend,Robert
Toye,Wendy
Trayger,Mike
Tramont,Jean-Claude
Trauberg,Ilya
Travers,Albert
Treut,Monica
Trent,John
Triana,Jorge Ali
Trikonis,Gus
Troche,Rose
Troell,Jan
Troisi,Massimo
Tronson,Robert
Trousdale,Gary
Trueba,Fernando
Truffaut,Francois
Truman,Michael
Trumbo,Dalton
Trumbull,Douglas
Tryon,Glenn
Tsukamoto,Shinya
Tsukerman,Slava
Tucci,Stan
Tuchner,Michael
Tucker,Anand
Tucker,xgn
Tuggle,Richard
Tully,Montgomery
Turman,Laurence
Turner,Ann
Turtletaub,Jon
Turturro,John
Tuttle,Frank
Twoohy,David
Tykwer,Tom
Tzavellas,Giorgos
Ucicky,gn
Ullman,Liv
Ulmer,Edgar G.
Underwood,Ron
Anonymous,gn
Anonymous,gn
Anonymous,gn
Anonymous,gn
Anonymous,gn
Anonymous,gn
Anonymous,gn
Anonymous,gn
Anonymous,gn
Anonymous,gn
Anonymous,gn
UnYear1920,gn
UnYear1921,gn
UnYear1923,gn
Anonymous,gn
Anonymous,gn
Anonymous,gn
UnYear1935,gn
UnYear1939,gn
Anonymous,gn
UnYear1943,gn
UnYear1947,gn
Anonymous,gn
Anonymous,gn
Anonymous,gn
Anonymous,gn
Anonymous,gn
Anonymous,gn
UnYear1950,gn
UnYear1965,gn
UnYear1966,gn
UnYear1969,gn
UnYear1971,gn
UnYear1972,gn
UnYear1973,gn
UnYear1974,gn
UnYear1978,gn
UnYear1980,gn
UnYear1981,gn
UnYear1982,gn
UnYear1984,gn
UnYear1985,gn
UnYear1986,gn
UnYear1987,gn
UnYear1988,gn
